strain_id,A_MTX_5-FC.HNM1_TPO1,A_MTX_Fluconazole.HNM1_TPO1,A_MTX_Metformin.HNM1_TPO1,A_MTX_Trifluoperazine.HNM1_TPO1,A_MTX_noDrug.HNM1_TPO1,A_noMTX_5-FC.HNM1_TPO1,A_noMTX_Fluconazole.HNM1_TPO1,A_noMTX_Metformin.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_noDrug.HNM1_TPO1,B_MTX_5-FC.HNM1_TPO1,B_MTX_Fluconazole.HNM1_TPO1,B_MTX_Metformin.HNM1_TPO1,B_MTX_Trifluoperazine.HNM1_TPO1,B_MTX_noDrug.HNM1_TPO1,B_noMTX_5-FC.HNM1_TPO1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Metformin.HNM1_TPO1,B_noMTX_Trifluoperazine.HNM1_TPO1,B_noMTX_noDrug.HNM1_TPO1,T0_noMTX_noDrug.HNM1_TPO1
622,8.0,0.0,35.0,10.0,4.0,165.0,12.0,135.0,17.0,207.0,12.0,0.0,47.0,10.0,5.0,252.0,46.0,90.0,83.0,32.0,29.0
627,3.0,3.0,4.0,3.0,5.0,2.0,2.0,18.0,7.0,1.0,5.0,0.0,5.0,11.0,5.0,14.0,2.0,4.0,5.0,6.0,1.0
631,291.0,12.0,793.0,200.0,96.0,1306.0,95.0,537.0,47.0,686.0,478.0,16.0,545.0,137.0,175.0,887.0,186.0,600.0,772.0,418.0,82.0
632,33.0,23.0,69.0,56.0,27.0,66.0,24.0,77.0,18.0,33.0,60.0,3.0,78.0,86.0,15.0,54.0,33.0,40.0,37.0,67.0,11.0
636,0.0,0.0,8.0,0.0,1.0,37.0,3.0,26.0,23.0,20.0,6.0,1.0,11.0,11.0,2.0,37.0,5.0,21.0,25.0,19.0,1.0
638,5.0,1.0,11.0,2.0,3.0,5.0,2.0,2.0,3.0,1.0,10.0,1.0,6.0,7.0,2.0,7.0,2.0,3.0,2.0,3.0,4.0
639,22.0,19.0,28.0,27.0,13.0,27.0,7.0,18.0,2.0,13.0,48.0,2.0,34.0,37.0,9.0,15.0,11.0,12.0,23.0,6.0,28.0
64,17.0,8.0,34.0,47.0,28.0,24.0,4.0,26.0,14.0,56.0,50.0,4.0,42.0,23.0,5.0,23.0,52.0,25.0,46.0,31.0,13.0
640,174.0,30.0,87.0,146.0,129.0,322.0,101.0,211.0,3.0,220.0,289.0,76.0,90.0,196.0,189.0,253.0,20.0,167.0,416.0,68.0,78.0
642,316.0,133.0,155.0,255.0,304.0,204.0,223.0,146.0,13.0,138.0,478.0,348.0,245.0,227.0,252.0,163.0,88.0,154.0,147.0,62.0,37.0
648,87.0,191.0,152.0,21.0,31.0,161.0,35.0,56.0,6.0,45.0,182.0,49.0,64.0,25.0,16.0,124.0,112.0,38.0,153.0,33.0,40.0
649,242.0,164.0,312.0,345.0,337.0,331.0,15.0,75.0,30.0,102.0,301.0,86.0,296.0,782.0,597.0,164.0,154.0,100.0,156.0,51.0,32.0
65,2.0,58.0,4.0,5.0,0.0,2.0,14.0,9.0,2.0,6.0,10.0,28.0,5.0,3.0,4.0,10.0,27.0,5.0,4.0,2.0,0.0
651,10.0,3.0,26.0,9.0,6.0,9.0,5.0,38.0,11.0,7.0,18.0,0.0,35.0,14.0,3.0,36.0,3.0,10.0,14.0,10.0,12.0
652,264.0,68.0,225.0,389.0,86.0,170.0,85.0,115.0,32.0,94.0,447.0,46.0,229.0,380.0,256.0,162.0,90.0,115.0,112.0,62.0,148.0
653,106.0,620.0,163.0,137.0,137.0,229.0,58.0,134.0,35.0,111.0,167.0,262.0,114.0,123.0,142.0,156.0,43.0,89.0,166.0,72.0,52.0
