strain_id,A_MTX_5-FC.ERV25_UIP4,A_MTX_Fluconazole.ERV25_UIP4,A_MTX_Metformin.ERV25_UIP4,A_MTX_Trifluoperazine.ERV25_UIP4,A_MTX_noDrug.ERV25_UIP4,A_noMTX_5-FC.ERV25_UIP4,A_noMTX_Fluconazole.ERV25_UIP4,A_noMTX_Metformin.ERV25_UIP4,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_noDrug.ERV25_UIP4,B_MTX_5-FC.ERV25_UIP4,B_MTX_Fluconazole.ERV25_UIP4,B_MTX_Metformin.ERV25_UIP4,B_MTX_Trifluoperazine.ERV25_UIP4,B_MTX_noDrug.ERV25_UIP4,B_noMTX_5-FC.ERV25_UIP4,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Metformin.ERV25_UIP4,B_noMTX_Trifluoperazine.ERV25_UIP4,B_noMTX_noDrug.ERV25_UIP4,T0_noMTX_noDrug.ERV25_UIP4
924,5.0,10.0,2.0,2.0,1.0,17.0,5.0,9.0,9.0,6.0,7.0,0.0,1.0,2.0,3.0,19.0,3.0,8.0,15,7.0,9.0
930,2.0,6.0,6.0,5.0,2.0,81.0,64.0,113.0,37.0,25.0,2.0,4.0,12.0,2.0,4.0,126.0,244.0,50.0,159,53.0,40.0
931,775.0,3.0,2248.0,471.0,1813.0,558.0,398.0,535.0,605.0,273.0,1233.0,1.0,1088.0,370.0,499.0,604.0,322.0,536.0,1114,781.0,278.0
933,7.0,20.0,16.0,19.0,52.0,1.0,2.0,9.0,7.0,2.0,6.0,9.0,3.0,7.0,10.0,6.0,42.0,4.0,32,2.0,5.0
936,487.0,27.0,145.0,405.0,519.0,20.0,11.0,190.0,89.0,29.0,165.0,31.0,146.0,105.0,462.0,74.0,84.0,138.0,146,10.0,6.0
937,0.0,7.0,5.0,21.0,4.0,21.0,5.0,16.0,35.0,12.0,2.0,8.0,1.0,2.0,3.0,36.0,0.0,19.0,108,41.0,37.0
939,954.0,126.0,1809.0,2681.0,2967.0,254.0,79.0,133.0,355.0,114.0,3033.0,125.0,870.0,1723.0,1651.0,459.0,126.0,121.0,828,387.0,234.0
94,1401.0,232.0,550.0,442.0,127.0,141.0,6.0,148.0,146.0,33.0,3651.0,119.0,161.0,391.0,319.0,136.0,8.0,54.0,355,329.0,27.0
941,4.0,1.0,14.0,1.0,2.0,18.0,191.0,18.0,32.0,21.0,2.0,0.0,12.0,0.0,2.0,71.0,2.0,17.0,98,38.0,27.0
942,26.0,0.0,194.0,74.0,3.0,16.0,2.0,16.0,27.0,2.0,72.0,0.0,25.0,7.0,25.0,33.0,4.0,10.0,65,12.0,16.0
943,12.0,84.0,31.0,17.0,87.0,3.0,56.0,6.0,17.0,3.0,95.0,9.0,4.0,24.0,25.0,17.0,130.0,0.0,30,1.0,4.0
