strain_id,A_MTX_5-FC.SNA4_GTR2,A_MTX_Fluconazole.SNA4_GTR2,A_MTX_Metformin.SNA4_GTR2,A_MTX_Trifluoperazine.SNA4_GTR2,A_MTX_noDrug.SNA4_GTR2,A_noMTX_5-FC.SNA4_GTR2,A_noMTX_Fluconazole.SNA4_GTR2,A_noMTX_Metformin.SNA4_GTR2,A_noMTX_Trifluoperazine.SNA4_GTR2,A_noMTX_noDrug.SNA4_GTR2,B_MTX_5-FC.SNA4_GTR2,B_MTX_Fluconazole.SNA4_GTR2,B_MTX_Metformin.SNA4_GTR2,B_MTX_Trifluoperazine.SNA4_GTR2,B_MTX_noDrug.SNA4_GTR2,B_noMTX_5-FC.SNA4_GTR2,B_noMTX_Fluconazole.SNA4_GTR2,B_noMTX_Metformin.SNA4_GTR2,B_noMTX_Trifluoperazine.SNA4_GTR2,B_noMTX_noDrug.SNA4_GTR2,T0_noMTX_noDrug.SNA4_GTR2
43,0.0,0.0,0.0,1.0,0.0,5.0,22.0,4.0,2.0,17.0,0.0,0.0,3,0.0,0.0,4.0,19.0,8.0,6.0,2.0,2.0
431,2.0,0.0,9.0,2.0,2.0,150.0,2.0,133.0,228.0,675.0,1.0,2.0,30,5.0,0.0,256.0,12.0,242.0,331.0,429.0,105.0
433,16.0,0.0,15.0,9.0,4.0,32.0,30.0,22.0,58.0,143.0,5.0,0.0,83,12.0,3.0,43.0,82.0,38.0,90.0,61.0,54.0
434,59.0,16.0,307.0,95.0,85.0,87.0,184.0,126.0,104.0,253.0,82.0,35.0,2402,146.0,88.0,170.0,94.0,105.0,152.0,349.0,35.0
437,22.0,21.0,25.0,21.0,13.0,26.0,20.0,15.0,30.0,52.0,15.0,2.0,101,13.0,11.0,39.0,12.0,5.0,29.0,15.0,8.0
438,1.0,5.0,0.0,1.0,1.0,36.0,43.0,9.0,21.0,67.0,0.0,0.0,12,0.0,0.0,86.0,22.0,19.0,20.0,15.0,59.0
439,3.0,15.0,7.0,2.0,2.0,59.0,261.0,29.0,30.0,176.0,4.0,41.0,22,3.0,2.0,119.0,784.0,242.0,67.0,71.0,25.0
43_ref1,1.0,5.0,3.0,1.0,1.0,5.0,476.0,3.0,25.0,5.0,2.0,1.0,7,2.0,2.0,5.0,295.0,59.0,22.0,6.0,233.0
43_ref2,10.0,3.0,1.0,6.0,9.0,88.0,23.0,110.0,190.0,67.0,1.0,1.0,35,5.0,4.0,33.0,26.0,40.0,174.0,194.0,355.0
442,18.0,3.0,24.0,29.0,23.0,13.0,13.0,5.0,18.0,23.0,11.0,1.0,180,26.0,11.0,16.0,6.0,6.0,4.0,6.0,0.0
444,1.0,0.0,1.0,1.0,2.0,0.0,5.0,1.0,6.0,3.0,0.0,0.0,18,1.0,4.0,1.0,0.0,1.0,4.0,2.0,2.0
446,4.0,8.0,3.0,3.0,2.0,3.0,8.0,2.0,5.0,12.0,2.0,6.0,13,3.0,1.0,10.0,3.0,5.0,12.0,8.0,0.0
45,5.0,4.0,7.0,3.0,6.0,11.0,3.0,11.0,15.0,14.0,0.0,1.0,16,0.0,2.0,14.0,18.0,9.0,7.0,10.0,1.0
450,11.0,5.0,5.0,12.0,3.0,71.0,16.0,52.0,56.0,168.0,2.0,4.0,63,7.0,6.0,67.0,219.0,91.0,81.0,136.0,38.0
452,21.0,1.0,7.0,13.0,8.0,16.0,5.0,8.0,24.0,37.0,3.0,1.0,59,17.0,10.0,20.0,53.0,10.0,7.0,9.0,3.0
458,0.0,2.0,6.0,2.0,2.0,125.0,65.0,227.0,165.0,435.0,1.0,4.0,25,6.0,1.0,149.0,73.0,88.0,146.0,226.0,95.0
459,47.0,34.0,81.0,59.0,38.0,25.0,31.0,46.0,60.0,190.0,56.0,19.0,288,50.0,35.0,63.0,84.0,50.0,62.0,70.0,36.0
460,497.0,5612.0,811.0,988.0,572.0,748.0,2049.0,1159.0,670.0,2020.0,476.0,6845.0,6113,477.0,477.0,1411.0,798.0,901.0,902.0,1936.0,374.0
466,8.0,19.0,9.0,10.0,5.0,19.0,13.0,20.0,26.0,40.0,5.0,3.0,124,4.0,2.0,25.0,6.0,7.0,19.0,13.0,3.0
468,461.0,10.0,229.0,742.0,618.0,185.0,201.0,155.0,187.0,361.0,294.0,5.0,915,571.0,415.0,226.0,447.0,212.0,239.0,360.0,85.0
470,36.0,201.0,24.0,27.0,31.0,36.0,26.0,25.0,37.0,79.0,26.0,2.0,148,22.0,22.0,58.0,4.0,15.0,34.0,24.0,11.0
473,4.0,13.0,8.0,11.0,8.0,45.0,36.0,184.0,62.0,237.0,7.0,8.0,28,7.0,5.0,101.0,8.0,76.0,125.0,215.0,41.0
475,17.0,514.0,197.0,37.0,19.0,1096.0,4642.0,4191.0,1658.0,4775.0,28.0,728.0,692,63.0,10.0,1624.0,6664.0,3889.0,3239.0,4720.0,1033.0
476,18.0,11.0,51.0,6.0,16.0,814.0,328.0,407.0,253.0,2430.0,3.0,0.0,168,11.0,3.0,642.0,43.0,361.0,997.0,943.0,486.0
48,6.0,12.0,14.0,20.0,3.0,43.0,13.0,110.0,125.0,231.0,1.0,6.0,29,8.0,3.0,58.0,32.0,55.0,184.0,149.0,46.0
485,10.0,6.0,2.0,1.0,9.0,10.0,11.0,2.0,4.0,4.0,4.0,2.0,16,2.0,4.0,6.0,1.0,1.0,7.0,6.0,4.0
486,90.0,15.0,392.0,88.0,84.0,131.0,72.0,167.0,184.0,538.0,107.0,2.0,2924,111.0,47.0,194.0,29.0,104.0,240.0,290.0,54.0
491,817.0,24.0,795.0,1351.0,1101.0,87.0,54.0,184.0,367.0,591.0,861.0,6.0,8521,711.0,954.0,240.0,131.0,117.0,342.0,389.0,225.0
493,20.0,21.0,10.0,11.0,14.0,50.0,32.0,29.0,40.0,200.0,12.0,21.0,30,17.0,15.0,110.0,115.0,33.0,54.0,69.0,36.0
495,9.0,7.0,10.0,14.0,6.0,590.0,42.0,290.0,177.0,376.0,5.0,7.0,79,12.0,4.0,247.0,175.0,283.0,549.0,395.0,81.0
50,47.0,4.0,49.0,43.0,12.0,16.0,7.0,11.0,24.0,25.0,16.0,0.0,79,12.0,13.0,39.0,11.0,6.0,26.0,5.0,6.0
503,2.0,3.0,21.0,4.0,1.0,56.0,21.0,41.0,140.0,225.0,2.0,5.0,33,2.0,3.0,117.0,3.0,16.0,131.0,96.0,41.0
507,1.0,0.0,3.0,2.0,3.0,146.0,139.0,60.0,150.0,232.0,1.0,3.0,31,2.0,0.0,160.0,181.0,112.0,171.0,150.0,129.0
508,8.0,6.0,26.0,11.0,23.0,181.0,135.0,233.0,667.0,843.0,1.0,1.0,151,14.0,0.0,401.0,137.0,219.0,1113.0,901.0,308.0
52,0.0,1.0,2.0,2.0,0.0,27.0,91.0,12.0,15.0,57.0,1.0,2.0,6,0.0,1.0,43.0,7.0,14.0,23.0,67.0,19.0
