strain_id,A_MTX_5-FC.ERG11_ORM2,A_MTX_Fluconazole.ERG11_ORM2,A_MTX_Metformin.ERG11_ORM2,A_MTX_Trifluoperazine.ERG11_ORM2,A_MTX_noDrug.ERG11_ORM2,A_noMTX_5-FC.ERG11_ORM2,A_noMTX_Fluconazole.ERG11_ORM2,A_noMTX_Metformin.ERG11_ORM2,A_noMTX_Trifluoperazine.ERG11_ORM2,A_noMTX_noDrug.ERG11_ORM2,B_MTX_5-FC.ERG11_ORM2,B_MTX_Fluconazole.ERG11_ORM2,B_MTX_Metformin.ERG11_ORM2,B_MTX_Trifluoperazine.ERG11_ORM2,B_MTX_noDrug.ERG11_ORM2,B_noMTX_5-FC.ERG11_ORM2,B_noMTX_Fluconazole.ERG11_ORM2,B_noMTX_Metformin.ERG11_ORM2,B_noMTX_Trifluoperazine.ERG11_ORM2,B_noMTX_noDrug.ERG11_ORM2,T0_noMTX_noDrug.ERG11_ORM2
683,1.0,0.0,2.0,13.0,0.0,12.0,19.0,8.0,20.0,10.0,1.0,0.0,6.0,0.0,3.0,20.0,6.0,4.0,9.0,23.0,6.0
685,0.0,15.0,37.0,10.0,0.0,160.0,169.0,238.0,50.0,106.0,6.0,8.0,63.0,4.0,6.0,99.0,29.0,54.0,83.0,291.0,27.0
689,44.0,68.0,27.0,71.0,140.0,57.0,5.0,29.0,13.0,47.0,26.0,149.0,11.0,70.0,74.0,37.0,6.0,7.0,17.0,81.0,6.0
690,62.0,138.0,67.0,31.0,31.0,90.0,4.0,38.0,14.0,48.0,89.0,5514.0,118.0,45.0,46.0,36.0,7.0,8.0,46.0,135.0,7.0
692,1.0,2.0,12.0,2.0,2.0,64.0,511.0,129.0,41.0,82.0,0.0,39.0,19.0,2.0,0.0,91.0,26.0,24.0,67.0,100.0,25.0
693,12.0,1.0,99.0,90.0,10.0,92.0,19.0,46.0,52.0,152.0,17.0,1.0,170.0,13.0,71.0,62.0,7.0,99.0,49.0,123.0,24.0
695,48.0,6.0,98.0,161.0,44.0,287.0,31.0,269.0,77.0,349.0,147.0,1.0,135.0,39.0,57.0,410.0,15.0,66.0,302.0,421.0,9.0
697,6.0,3.0,28.0,46.0,2.0,51.0,163.0,45.0,47.0,26.0,4.0,97.0,37.0,5.0,18.0,16.0,9.0,16.0,40.0,204.0,7.0
7,12.0,1.0,24.0,48.0,19.0,67.0,3.0,20.0,10.0,45.0,47.0,0.0,51.0,4.0,0.0,24.0,2.0,7.0,11.0,17.0,3.0
701,0.0,8.0,24.0,5.0,4.0,143.0,22.0,128.0,79.0,85.0,1.0,51.0,67.0,1.0,1.0,136.0,76.0,68.0,99.0,725.0,5.0
702,36.0,23.0,217.0,40.0,15.0,252.0,1333.0,327.0,241.0,225.0,12.0,3.0,133.0,13.0,39.0,282.0,151.0,158.0,317.0,358.0,55.0
703,19.0,0.0,27.0,68.0,6.0,88.0,8.0,170.0,48.0,248.0,14.0,1.0,8.0,41.0,193.0,162.0,3.0,12.0,78.0,120.0,9.0
705,6.0,1.0,44.0,12.0,1.0,71.0,6.0,50.0,39.0,73.0,0.0,1.0,35.0,6.0,2.0,83.0,20.0,23.0,111.0,125.0,9.0
709,119.0,3.0,306.0,3720.0,1032.0,17.0,11.0,36.0,46.0,26.0,20.0,9.0,129.0,871.0,2435.0,11.0,9.0,15.0,59.0,157.0,13.0
711,18.0,1.0,127.0,23.0,2.0,92.0,5.0,14.0,25.0,105.0,7.0,3.0,83.0,14.0,21.0,41.0,5.0,1.0,34.0,129.0,9.0
713,40.0,2.0,100.0,220.0,190.0,36.0,78.0,77.0,42.0,49.0,49.0,1.0,96.0,67.0,410.0,32.0,6.0,10.0,109.0,115.0,17.0
715,0.0,2.0,1.0,4.0,0.0,3.0,85.0,2.0,0.0,20.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,10.0,15.0,2.0
717,147.0,12.0,185.0,420.0,229.0,372.0,25.0,260.0,174.0,320.0,264.0,15.0,203.0,218.0,1188.0,411.0,21.0,44.0,337.0,386.0,32.0
721,12.0,19.0,30.0,49.0,12.0,148.0,17.0,151.0,72.0,251.0,3.0,81.0,24.0,4.0,10.0,169.0,90.0,62.0,156.0,456.0,8.0
724,8.0,2.0,7.0,105.0,5.0,11.0,13.0,5.0,16.0,9.0,14.0,4.0,10.0,3.0,22.0,10.0,5.0,12.0,14.0,33.0,3.0
727,950.0,20.0,2438.0,967.0,893.0,552.0,12.0,772.0,513.0,473.0,546.0,24.0,1513.0,512.0,2421.0,444.0,5.0,330.0,636.0,1272.0,51.0
729,129.0,106.0,197.0,461.0,193.0,239.0,66.0,327.0,135.0,342.0,385.0,80.0,404.0,179.0,759.0,261.0,64.0,109.0,132.0,470.0,29.0
731,431.0,9.0,5260.0,1175.0,131.0,1763.0,27011.0,2487.0,1845.0,2049.0,262.0,45.0,4296.0,270.0,586.0,1519.0,496.0,1157.0,2347.0,2611.0,234.0
732,6.0,3.0,209.0,43.0,12.0,765.0,877.0,735.0,549.0,1120.0,17.0,49.0,149.0,5.0,39.0,779.0,157.0,338.0,626.0,1529.0,34.0
734,281.0,54.0,184.0,1162.0,705.0,54.0,14.0,33.0,82.0,87.0,307.0,6.0,149.0,980.0,2805.0,52.0,16.0,34.0,42.0,174.0,18.0
735,1.0,0.0,9.0,3.0,3.0,39.0,4.0,112.0,39.0,49.0,0.0,2.0,10.0,0.0,1.0,70.0,5.0,15.0,102.0,187.0,17.0
738,20.0,74.0,40.0,52.0,25.0,55.0,25.0,78.0,35.0,144.0,7.0,140.0,9.0,14.0,86.0,49.0,21.0,26.0,36.0,100.0,8.0
739,1.0,4.0,55.0,47.0,3.0,258.0,249.0,547.0,225.0,488.0,7.0,4.0,79.0,2.0,12.0,310.0,26.0,100.0,426.0,652.0,124.0
