strain_id,A_MTX_5-FC.HNM1_RBD2,A_MTX_Fluconazole.HNM1_RBD2,A_MTX_Metformin.HNM1_RBD2,A_MTX_Trifluoperazine.HNM1_RBD2,A_MTX_noDrug.HNM1_RBD2,A_noMTX_5-FC.HNM1_RBD2,A_noMTX_Fluconazole.HNM1_RBD2,A_noMTX_Metformin.HNM1_RBD2,A_noMTX_Trifluoperazine.HNM1_RBD2,A_noMTX_noDrug.HNM1_RBD2,B_MTX_5-FC.HNM1_RBD2,B_MTX_Fluconazole.HNM1_RBD2,B_MTX_Metformin.HNM1_RBD2,B_MTX_Trifluoperazine.HNM1_RBD2,B_MTX_noDrug.HNM1_RBD2,B_noMTX_5-FC.HNM1_RBD2,B_noMTX_Fluconazole.HNM1_RBD2,B_noMTX_Metformin.HNM1_RBD2,B_noMTX_Trifluoperazine.HNM1_RBD2,B_noMTX_noDrug.HNM1_RBD2,T0_noMTX_noDrug.HNM1_RBD2
532,12.0,3.0,0.0,25.0,2.0,0.0,4.0,4.0,16.0,3.0,6.0,4.0,3.0,2.0,0.0,8.0,2.0,22.0,2.0,2.0,0.0
535,101.0,140.0,15.0,80.0,38.0,34.0,75.0,44.0,22.0,22.0,89.0,88.0,24.0,16.0,22.0,107.0,48.0,42.0,50.0,32.0,6.0
538,657.0,13.0,1006.0,324.0,8.0,803.0,175.0,590.0,531.0,184.0,657.0,13.0,1640.0,154.0,16.0,3834.0,166.0,3388.0,587.0,225.0,88.0
539,3994.0,62.0,29.0,39.0,32.0,22.0,19.0,30.0,27.0,27.0,69.0,58.0,89.0,19.0,7.0,45.0,14.0,77.0,17.0,28.0,13.0
540,8803.0,386.0,1091.0,10012.0,238.0,1510.0,1773.0,777.0,1110.0,293.0,13076.0,468.0,1777.0,8944.0,2603.0,3642.0,1586.0,6625.0,664.0,230.0,420.0
541,3.0,1.0,18.0,10.0,2.0,1574.0,144.0,673.0,1144.0,445.0,1.0,0.0,27.0,1.0,1.0,4162.0,589.0,6835.0,933.0,350.0,104.0
543,1.0,0.0,2.0,2.0,0.0,21.0,2.0,21.0,17.0,12.0,0.0,1.0,2.0,1.0,0.0,177.0,5.0,88.0,35.0,6.0,44.0
545,12.0,352.0,0.0,60.0,5.0,7.0,20.0,5.0,16.0,4.0,13.0,330.0,13.0,11.0,4.0,11.0,17.0,21.0,14.0,8.0,2.0
546,0.0,4.0,1.0,0.0,1.0,251.0,13.0,110.0,81.0,64.0,3.0,3.0,7.0,2.0,0.0,785.0,10.0,1375.0,241.0,41.0,46.0
557,19.0,2.0,5.0,28.0,16.0,5.0,7.0,10.0,14.0,3.0,13.0,4.0,6.0,6.0,5.0,13.0,2.0,28.0,23.0,3.0,1.0
559,3.0,6.0,4.0,13.0,5.0,6.0,3.0,8.0,28.0,3.0,2.0,1.0,10.0,1.0,0.0,20.0,7.0,62.0,9.0,6.0,3.0
564,26.0,21.0,4.0,27.0,2.0,11.0,17.0,15.0,24.0,5.0,16.0,19.0,8.0,15.0,3.0,35.0,7.0,93.0,14.0,4.0,0.0
567,19.0,28.0,13.0,9.0,8.0,13.0,7.0,35.0,33.0,17.0,12.0,15.0,44.0,5.0,6.0,41.0,6.0,124.0,27.0,23.0,4.0
57,1.0,0.0,1.0,2.0,0.0,164.0,12.0,82.0,110.0,45.0,1.0,0.0,1.0,0.0,0.0,318.0,10.0,347.0,135.0,54.0,45.0
571,7.0,111.0,1.0,11.0,7.0,2.0,7.0,3.0,11.0,2.0,11.0,2.0,24.0,9.0,4.0,19.0,6.0,23.0,8.0,6.0,2.0
574,0.0,0.0,1.0,3.0,0.0,6.0,2.0,7.0,11.0,2.0,4.0,1.0,1.0,1.0,0.0,12.0,2.0,27.0,4.0,1.0,0.0
576,0.0,13.0,1.0,3.0,1.0,4.0,3.0,6.0,7.0,2.0,1.0,1.0,2.0,0.0,0.0,9.0,5.0,12.0,5.0,6.0,1.0
578,6630.0,774.0,2436.0,3137.0,83.0,2031.0,1990.0,824.0,2661.0,581.0,10934.0,5020.0,3304.0,3996.0,218.0,10105.0,1049.0,5103.0,3332.0,332.0,317.0
58,4.0,0.0,0.0,3.0,3.0,3.0,14.0,9.0,34.0,6.0,4.0,1.0,2.0,1.0,1.0,68.0,3.0,77.0,44.0,3.0,69.0
581,2.0,3.0,0.0,1.0,2.0,8.0,6.0,8.0,7.0,8.0,2.0,12.0,2.0,0.0,0.0,15.0,1.0,20.0,10.0,10.0,1.0
586,16.0,20.0,6.0,26.0,11.0,26.0,191.0,17.0,20.0,14.0,16.0,19.0,10.0,7.0,3.0,80.0,3.0,101.0,20.0,17.0,12.0
588,9.0,6.0,14.0,7.0,5.0,7.0,7.0,12.0,19.0,5.0,1.0,2.0,15.0,1.0,0.0,24.0,1.0,38.0,21.0,9.0,3.0
589,56.0,21.0,0.0,18.0,0.0,308.0,186.0,194.0,278.0,115.0,47.0,17.0,13.0,2.0,0.0,1248.0,260.0,800.0,361.0,87.0,65.0
590,7.0,1.0,4.0,11.0,5.0,12.0,13.0,22.0,20.0,7.0,9.0,0.0,10.0,6.0,0.0,23.0,4.0,47.0,14.0,9.0,2.0
596,8.0,1.0,1.0,19.0,1.0,14.0,11.0,21.0,18.0,92.0,10.0,1.0,2.0,2.0,1.0,45.0,13.0,70.0,36.0,21.0,14.0
598,201.0,23.0,102.0,49.0,11.0,115.0,389.0,53.0,109.0,27.0,21.0,4.0,69.0,113.0,6.0,400.0,402.0,107.0,70.0,29.0,25.0
599,2035.0,5.0,563.0,729.0,62.0,690.0,24.0,452.0,392.0,182.0,5104.0,16.0,833.0,1456.0,720.0,1416.0,54.0,3091.0,517.0,144.0,103.0
599_ref1,3425.0,0.0,1534.0,637.0,0.0,3108.0,236.0,2061.0,1799.0,1012.0,5800.0,1.0,3163.0,333.0,252.0,6703.0,494.0,14584.0,1604.0,737.0,721.0
599_ref2,1603.0,0.0,426.0,89.0,0.0,1564.0,89.0,938.0,837.0,674.0,2172.0,0.0,833.0,212.0,30.0,4166.0,318.0,6597.0,1431.0,728.0,608.0
6,3.0,3.0,2.0,2.0,2.0,12.0,4.0,10.0,18.0,8.0,2.0,4.0,10.0,1.0,0.0,14.0,4.0,71.0,13.0,2.0,1.0
