strain_id,A_MTX_5-FC.ERV25_EMP47,A_MTX_Fluconazole.ERV25_EMP47,A_MTX_Metformin.ERV25_EMP47,A_MTX_Trifluoperazine.ERV25_EMP47,A_MTX_noDrug.ERV25_EMP47,A_noMTX_5-FC.ERV25_EMP47,A_noMTX_Fluconazole.ERV25_EMP47,A_noMTX_Metformin.ERV25_EMP47,A_noMTX_Trifluoperazine.ERV25_EMP47,A_noMTX_noDrug.ERV25_EMP47,B_MTX_5-FC.ERV25_EMP47,B_MTX_Fluconazole.ERV25_EMP47,B_MTX_Metformin.ERV25_EMP47,B_MTX_Trifluoperazine.ERV25_EMP47,B_MTX_noDrug.ERV25_EMP47,B_noMTX_5-FC.ERV25_EMP47,B_noMTX_Fluconazole.ERV25_EMP47,B_noMTX_Metformin.ERV25_EMP47,B_noMTX_Trifluoperazine.ERV25_EMP47,B_noMTX_noDrug.ERV25_EMP47,T0_noMTX_noDrug.ERV25_EMP47
960,467.0,50.0,702.0,3031.0,374.0,248.0,38.0,355.0,279.0,923.0,818.0,3.0,2917.0,1755.0,671.0,2415,31.0,47.0,52.0,162.0,34.0
962,9.0,145.0,4.0,351.0,3.0,5.0,4.0,6.0,14.0,36.0,2.0,3.0,5.0,16.0,6.0,89,1.0,1.0,6.0,8.0,3.0
966,5.0,7.0,9.0,2.0,3.0,5.0,6.0,19.0,46.0,72.0,2.0,0.0,12.0,0.0,5.0,180,4.0,14.0,6.0,9.0,8.0
967,29.0,69.0,129.0,223.0,37.0,37.0,12.0,68.0,34.0,73.0,23.0,3.0,242.0,176.0,105.0,214,9.0,40.0,28.0,33.0,14.0
972,653.0,42686.0,425.0,3043.0,752.0,45.0,23.0,242.0,376.0,547.0,422.0,34890.0,1375.0,1929.0,413.0,1139,259.0,120.0,76.0,113.0,32.0
973,2.0,2.0,7.0,0.0,1.0,81.0,9.0,265.0,149.0,791.0,1.0,4.0,24.0,2.0,2.0,1432,8.0,78.0,43.0,158.0,52.0
976,5.0,9.0,2.0,9.0,6.0,14.0,44.0,7.0,37.0,207.0,1.0,0.0,9.0,3.0,3.0,673,3.0,2.0,7.0,24.0,13.0
980,7.0,44.0,4.0,79.0,4.0,20.0,36.0,24.0,47.0,333.0,2.0,13.0,2.0,7.0,5.0,626,17.0,19.0,14.0,39.0,9.0
983,372.0,74605.0,129.0,4116.0,1489.0,26.0,4.0,69.0,21.0,103.0,502.0,548.0,1026.0,2746.0,1656.0,231,12.0,14.0,8.0,27.0,24.0
984,3.0,367.0,13.0,67.0,1.0,245.0,111.0,372.0,98.0,877.0,4.0,3.0,19.0,3.0,5.0,2644,76.0,84.0,49.0,223.0,99.0
985,0.0,6.0,1.0,0.0,2.0,8.0,2.0,14.0,24.0,68.0,2.0,1.0,6.0,1.0,3.0,168,7.0,1.0,8.0,9.0,2.0
987,25.0,29.0,37.0,22.0,46.0,61.0,7.0,34.0,29.0,239.0,18.0,1.0,27.0,47.0,179.0,953,0.0,11.0,7.0,61.0,25.0
99,71.0,6.0,85.0,208.0,44.0,60.0,59.0,88.0,49.0,303.0,37.0,8.0,327.0,104.0,75.0,587,44.0,32.0,31.0,68.0,30.0
