strain_id,A_MTX_5-FC.ERG11_ERG5,A_MTX_Fluconazole.ERG11_ERG5,A_MTX_Metformin.ERG11_ERG5,A_MTX_Trifluoperazine.ERG11_ERG5,A_MTX_noDrug.ERG11_ERG5,A_noMTX_5-FC.ERG11_ERG5,A_noMTX_Fluconazole.ERG11_ERG5,A_noMTX_Metformin.ERG11_ERG5,A_noMTX_Trifluoperazine.ERG11_ERG5,A_noMTX_noDrug.ERG11_ERG5,B_MTX_5-FC.ERG11_ERG5,B_MTX_Fluconazole.ERG11_ERG5,B_MTX_Metformin.ERG11_ERG5,B_MTX_Trifluoperazine.ERG11_ERG5,B_MTX_noDrug.ERG11_ERG5,B_noMTX_5-FC.ERG11_ERG5,B_noMTX_Fluconazole.ERG11_ERG5,B_noMTX_Metformin.ERG11_ERG5,B_noMTX_Trifluoperazine.ERG11_ERG5,B_noMTX_noDrug.ERG11_ERG5,T0_noMTX_noDrug.ERG11_ERG5
611,48.0,87.0,185.0,105.0,46.0,355.0,234.0,460.0,154.0,352.0,60.0,4.0,389.0,35.0,9.0,520.0,830.0,388.0,227.0,435.0,65.0
616,215.0,425.0,470.0,407.0,685.0,380.0,59.0,877.0,206.0,448.0,88.0,355.0,361.0,247.0,75.0,380.0,1144.0,397.0,251.0,311.0,146.0
619,10.0,9.0,3.0,17.0,6.0,9.0,5.0,2.0,23.0,31.0,16.0,0.0,4.0,2.0,2.0,3.0,7.0,7.0,6.0,6.0,1.0
622,57.0,28.0,113.0,49.0,15.0,288.0,11.0,248.0,106.0,300.0,17.0,0.0,34.0,28.0,3.0,329.0,10.0,87.0,157.0,124.0,46.0
627,24.0,18.0,20.0,56.0,46.0,50.0,125.0,118.0,41.0,105.0,13.0,12.0,66.0,15.0,5.0,32.0,272.0,86.0,32.0,47.0,20.0
631,794.0,464.0,777.0,766.0,738.0,871.0,182.0,1031.0,426.0,1213.0,554.0,19.0,1170.0,249.0,228.0,1689.0,23.0,345.0,532.0,864.0,105.0
632,162.0,70.0,152.0,300.0,123.0,74.0,25.0,107.0,116.0,422.0,44.0,75.0,120.0,63.0,31.0,48.0,27.0,87.0,69.0,82.0,22.0
636,149.0,174.0,261.0,438.0,125.0,721.0,514.0,218.0,628.0,674.0,303.0,28.0,354.0,128.0,15.0,669.0,10.0,297.0,558.0,689.0,67.0
638,13.0,3.0,17.0,18.0,16.0,14.0,3.0,38.0,5.0,20.0,17.0,0.0,4.0,10.0,2.0,13.0,15.0,22.0,7.0,15.0,14.0
639,48.0,18.0,44.0,64.0,25.0,21.0,8.0,15.0,19.0,45.0,17.0,8.0,29.0,17.0,9.0,10.0,10.0,22.0,14.0,15.0,6.0
64,34.0,19.0,55.0,143.0,123.0,125.0,16.0,182.0,54.0,160.0,49.0,8.0,38.0,56.0,44.0,112.0,14.0,28.0,65.0,116.0,23.0
640,7.0,5.0,8.0,11.0,6.0,12.0,5.0,6.0,4.0,33.0,1.0,8.0,10.0,4.0,2.0,9.0,7.0,8.0,18.0,5.0,11.0
642,113.0,100.0,61.0,231.0,201.0,111.0,41.0,252.0,114.0,190.0,53.0,16.0,245.0,99.0,30.0,110.0,17.0,50.0,75.0,103.0,48.0
648,81.0,105.0,15.0,42.0,26.0,23.0,28.0,69.0,17.0,63.0,46.0,102.0,21.0,15.0,8.0,31.0,99.0,34.0,20.0,13.0,18.0
649,478.0,23.0,652.0,1616.0,1151.0,315.0,6.0,432.0,419.0,628.0,437.0,26.0,576.0,545.0,155.0,385.0,114.0,168.0,310.0,336.0,82.0
65,5.0,17.0,3.0,11.0,4.0,3.0,2.0,4.0,3.0,2.0,5.0,4.0,1.0,9.0,4.0,2.0,14.0,3.0,4.0,2.0,2.0
