strain_id,A_MTX_5-FC.ERG11_TPO4,A_MTX_Fluconazole.ERG11_TPO4,A_MTX_Metformin.ERG11_TPO4,A_MTX_Trifluoperazine.ERG11_TPO4,A_MTX_noDrug.ERG11_TPO4,A_noMTX_5-FC.ERG11_TPO4,A_noMTX_Fluconazole.ERG11_TPO4,A_noMTX_Metformin.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_noDrug.ERG11_TPO4,B_MTX_5-FC.ERG11_TPO4,B_MTX_Fluconazole.ERG11_TPO4,B_MTX_Metformin.ERG11_TPO4,B_MTX_Trifluoperazine.ERG11_TPO4,B_MTX_noDrug.ERG11_TPO4,B_noMTX_5-FC.ERG11_TPO4,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Metformin.ERG11_TPO4,B_noMTX_Trifluoperazine.ERG11_TPO4,B_noMTX_noDrug.ERG11_TPO4,T0_noMTX_noDrug.ERG11_TPO4
689,38.0,126.0,387.0,89.0,485.0,15.0,9.0,29.0,54.0,49.0,193.0,120.0,235.0,143.0,1543.0,15.0,7.0,15.0,65.0,43.0,12.0
690,4.0,13.0,27.0,4.0,29.0,10.0,1.0,7.0,28.0,35.0,10.0,362.0,15.0,5.0,205.0,28.0,8.0,26.0,3.0,8.0,10.0
692,4.0,2.0,62.0,0.0,0.0,54.0,320.0,62.0,360.0,128.0,0.0,0.0,16.0,1.0,5.0,154.0,110.0,84.0,134.0,95.0,77.0
693,23.0,17.0,223.0,191.0,40.0,175.0,4.0,196.0,210.0,109.0,12.0,0.0,39.0,13.0,903.0,208.0,1.0,127.0,107.0,197.0,72.0
695,214.0,9.0,710.0,213.0,403.0,72.0,20.0,140.0,266.0,272.0,79.0,0.0,47.0,64.0,847.0,134.0,14.0,134.0,67.0,178.0,26.0
697,2.0,1.0,8.0,7.0,3.0,18.0,18.0,26.0,99.0,14.0,0.0,2.0,4.0,1.0,72.0,17.0,5.0,24.0,16.0,12.0,7.0
7,14.0,0.0,32.0,2.0,5.0,31.0,112.0,18.0,50.0,12.0,8.0,0.0,8.0,5.0,7.0,22.0,1.0,6.0,15.0,33.0,4.0
701,1.0,574.0,755.0,6.0,0.0,243.0,18.0,368.0,276.0,292.0,1.0,108.0,313.0,3.0,9.0,132.0,38.0,167.0,489.0,248.0,33.0
702,199.0,297.0,7529.0,109.0,2.0,757.0,805.0,1803.0,1959.0,928.0,49.0,16.0,1224.0,23.0,55.0,1240.0,137.0,701.0,1789.0,1655.0,245.0
703,11.0,3.0,4.0,8.0,7.0,317.0,0.0,39.0,134.0,40.0,3.0,0.0,2.0,7.0,13.0,184.0,20.0,39.0,131.0,76.0,14.0
705,2.0,5.0,86.0,1.0,0.0,151.0,6.0,103.0,143.0,121.0,1.0,0.0,57.0,0.0,5.0,100.0,23.0,122.0,135.0,204.0,39.0
